#Tweet_ID	Tweet_text	Topic	Sentiment_label	Sentiment_label_confidence	Speech_act_label	Speech_act_label_confidence
929241870508724224	المباراة القـادمة #غانا x #مصر الجولة الأخيرة من المجموعة الـ 5 تصفيات كاس العالم 2018 روسـيا ترتيب مصر : المركز الاول 12 نقطة ( تم حسم التأهل للمونديال ) غــدا الساعة 5:30 ع قناة : بين ســبورت 1 تـــوقعاتكم لـ نتيجة الماتش .؟ 😀😁 https://t.co/RTQBNZXDqM	Event	Positive	0.38	Assertion	0.62
928942264583376897	هل هذه هي سياسة خارجيه لدوله تحترم نفسها والآخرين :#اليمن عدوان وحصار ل 3 سنوات #البحرين قمع حراك شعبها المسالم المطالب بالمساواة والعداله #سوريا #العراق دعموا الإرهاب وارسلوا المال والسلاح والانتحاريين #قطر حصار ومحاولة فرض الوصايه والآن #لبنان محاولة فرض وصايه علني!!	Entity	Negative	1	Expression	0.68
928615163250520065	وزير خارجية فرنسا عن منتدى شباب العالم: شعرت بارتياح وأنا أتابعه من باريس - https://t.co/hSvsbEaeUz #youm	Event	Positive	0.69	Assertion	1
931614713368186880	ومع السيسي و بشار و ايران و بن زايد و والا خليفه و روافض إلعراق و حفتر و علي صالح كل طواغيت العرب العلاقات عسل علي سمن	Event	Negative	1	Expression	1
929755693011427331	أهداف مباراة غانا 0 مصر 1 تصفيات كأس العالم 2018 روسيا GHA 0vs1 EYG: https://t.co/9amtlpYR4C	Event	Neutral	1	Assertion	1
930547691393896448	طبعا 25 يناير ثورة محترمة ونفخر بها كان فيها عملاء وخونه واصحاب اجندات ايوة كان فيها زيها زى اى ثورة بيحاول اصحاب المصالح الركوب عليها وده حصل فعلا من الاخوان وتم تصحيح المسار بى 30 / 6 واللى يقول كلام غير ده يبقى كداب لان دى الحقيقة المجردة من اى مصالح او اطماع	Long_Standing	Mixed	0.35	Expression	1
928645180873469953	#WeNeedToTalk #منتدي #شباب #العالم #شرم_الشيخ #حفل #الختام @ قاعة المؤتمرات بشرم الشيخ https://t.co/lSQhAGm97T	Event	Neutral	1	Assertion	0.64
932183451175997440	يعنى رايح تعتقل ماهيتور المصرى تانى بحجة اشتراكها فى مظاهرة بمصرية تيران وصنافير من 6 شهور ! هو يعنى سجلك الزفت... https://t.co/LrzuXGTi	Long_Standing	Negative	1	Expression	1
932176345400008705	#قولوا_ل_قطر كبتن نامق أن الحل ب #الرياض وان ما يحدث لقطر من مقاطعة هي لعدم استجابتها لاتفاق #الرياض. وان الذي يحدث الآن للبنان شان لبناني داخلي صرف. وهل أصبح #نامق المتحدث الرسمي لايران بلسان #عربي وأول مرة ارى وزير دولة يصف دولته بالساندويتش #قطر_ساندويتش https://t.co/9KBKDJuVsb	Entity	Negative	0.67	Expression	0.34
929607749461250048	بسم الله نبدأ 👏 نغرد علي وسم 👇 👇 👇 👇 👇 ↩ #شباب_مصر_يريد ↪تحقيق أهداف ثورة يناير العيش والحرية والعدالة الاجتماعية والكرامة الإنسانية #تيم_المرابطون ✊ https://t.co/RDDVULxYuK	Long_Standing	Positive	1	Expression	1
927848950991937536	هذا الربيع العربي صحيح وسليم اجتثاث روس الفساد !!عبيد حاول تبداء بدارك .	Long_Standing	Negative	0.34	Expression	1
927626799764434945	✨ ملابس السيدة الأولى بحفل الافتتاح رسالة دعم للشباب المصري في #شرم_الشيخ#منتدي_شباب_العالم#ائتلاف_نساء_مصر https://t.co/SnLXitKeAO https://t.co/Pp1QrIJR9G	Event	Neutral	0.68	Assertion	0.68
927948381120581636	دول المال أفسدوا ثورات الربيع العربى هل سنرى خريف الغضب على الخليج العربى ربما	Long_Standing	Negative	1	Expression	1
928932760017866754	رحم الله شهداء ثورة يناير اللي بسببهم اتكسر الخوف جوانا من بلطجية الداخلية وبقو بالنسبالنا موظف عادي في الدولة	Long_Standing	Positive	0.35	Expression	1
931152577353469056	تصفيات كاس العالم اوربا ايرلند الشماليه يتعادل مع البرتغال بالشوط الاول	Event	Neutral	1	Assertion	1
929742297914334976	ياه جه الوقت ان يبقى فيه ماتش مصر في تصفيات كاس العالم وابقى مش مهتم اتفرج	Event	Negative	0.65	Expression	1
927678782676393984	#WeNeedToTalkيا شباب العالم روحوا زوروا السجون المصرية وشوفوا عدد الشباب اللى فيها.#منتدى_شباب_العالم	Event	Negative	1	Expression	0.65
